from,to,p_a_to_b,a_causes_b,p_b_to_a,b_causes_a,min_p
raw_avg_speed_std,silver_ingestion_duration_sec,0.5367008286435225,False,0.604421053278948,False,0.5367008286435225
raw_avg_speed_std,bronze_duplicate_rows_removed,0.5861075591085123,False,0.6413533887123222,False,0.5861075591085123
bronze_start_after_end_rows_lag1,silver_ml_imputed_fuel_std_lag1,0.6031484568118698,False,0.7033884434465667,False,0.6031484568118698
raw_temporal_coverage_hours,silver_ml_imputed_fuel_std,0.6863783605261101,False,0.6116908947898784,False,0.6116908947898784
bronze_duplicate_rows_removed,bronze_survival_rate,0.6238886809405733,False,0.9093104096029359,False,0.6238886809405733
bronze_survival_rate_lag1,bronze_duplicate_rows_removed_lag1,0.9284775311545204,False,0.6287214007248951,False,0.6287214007248951
silver_vehicle_info_join_miss_rate,bronze_duplicate_rows_removed_lag1,0.8004184945004348,False,0.6490832454561859,False,0.6490832454561859
silver_vehicle_info_join_miss_rate,silver_ml_imputed_fuel_std_lag1,0.9606977774848928,False,0.6922617858361162,False,0.6922617858361162
bronze_duplicate_rows_removed_lag1,silver_ingestion_duration_sec_lag1,0.9945565282839606,False,0.7132514466832578,False,0.7132514466832578
bronze_duplicate_rows_removed,silver_ingestion_duration_sec,0.970393433333169,False,0.7143820699614865,False,0.7143820699614865
raw_ingestion_duration_sec,bronze_duplicate_rows_removed,0.900520507532239,False,0.751572870586011,False,0.751572870586011
raw_ingestion_duration_sec_lag1,bronze_duplicate_rows_removed_lag1,0.8937108696424256,False,0.7545151911083776,False,0.7545151911083776
raw_temporal_coverage_hours,silver_ml_imputed_fuel_std_lag1,0.7761213902935784,False,0.9713532585311696,False,0.7761213902935784
raw_ingestion_duration_sec_lag1,silver_ingestion_duration_sec_lag1,0.8019848322357496,False,0.9842605777425601,False,0.8019848322357496
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.8036901211622639,False,0.9850928463285964,False,0.8036901211622639
silver_ml_imputed_fuel_std_lag1,silver_ml_imputed_fuel_std,0.9787716967264163,False,1.0,False,0.9787716967264163
raw_temporal_coverage_hours,raw_temporal_coverage_hours_lag1,1.0,False,1.0,False,1.0
p95_idling_per_100km,p50_idling_per_100km,1.0,False,1.0,False,1.0
p95_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
p50_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
